group_id	items_in_group	lo_value	p	FDR	goodsgrna
hDel_6849__1500	25	1.2351e-02	7.2830e-03	0.234563	4
hDel_923__6750	7	1.2433e-02	5.9501e-03	0.234563	2
hDel_4985__5500	26	1.2480e-02	6.8859e-03	0.234563	4
hDel_494__5750	14	1.2526e-02	6.3903e-03	0.234563	3
hDel_6076__500	18	1.2937e-02	6.8806e-03	0.234563	4
hDel_6878__4000	16	1.3168e-02	7.8569e-03	0.235287	2
hDel_2028__750	8	1.3201e-02	8.3499e-03	0.237675	2
hDel_3711__2750	18	1.3410e-02	7.0298e-03	0.234563	2
hDel_4393__500	32	1.3599e-02	6.4624e-03	0.234563	3
hDel_6418__186750	5	1.3807e-02	6.7900e-03	0.234563	1
hDel_6274__0	5	1.3807e-02	6.7900e-03	0.234563	1
hDel_928__0	5	1.3807e-02	6.7900e-03	0.234563	1
hDel_3310__16750	5	1.3975e-02	7.0238e-03	0.234563	1
hDel_6656__1250	26	1.4037e-02	8.4103e-03	0.237675	3
hDel_6633__0	26	1.4124e-02	8.4103e-03	0.237675	4
hDel_4479__2500	9	1.4475e-02	1.0250e-02	0.240399	2
hDel_1110__1750	36	1.4496e-02	7.5704e-03	0.235287	4
hDel_5959__0	7	1.4524e-02	6.8853e-03	0.234563	2
hDel_1608__1000	22	1.4832e-02	7.7009e-03	0.235287	4
hDel_4601__250	8	1.4834e-02	8.3502e-03	0.237675	2
hDel_5488__4000	35	1.5055e-02	7.7643e-03	0.235287	5
hDel_2347__2000	6	1.5278e-02	6.8049e-03	0.234563	2
hDel_3035__500	10	1.5317e-02	1.0609e-02	0.241492	3
hDel_766__250	21	1.5334e-02	8.5363e-03	0.237675	2
hDel_2952__500	10	1.5359e-02	1.0609e-02	0.241492	3
hDel_1608__0	37	1.5633e-02	7.4131e-03	0.234563	3
hDel_1478__6000	14	1.5739e-02	8.5998e-03	0.237675	3
hDel_6574__12000	30	1.5914e-02	8.9968e-03	0.237675	3
hDel_7235__10750	7	1.6274e-02	7.3869e-03	0.234563	2
hDel_7114__250	15	1.6349e-02	8.5042e-03	0.237675	3
hDel_5669__2000	19	1.6352e-02	8.6525e-03	0.237675	4
hDel_6633__4750	32	1.6353e-02	8.8119e-03	0.237675	5
hDel_4859__10750	9	1.6545e-02	1.1471e-02	0.249825	2
hDel_3838__1500	6	1.6545e-02	7.8531e-03	0.235287	1
hDel_2610__2250	6	1.6596e-02	7.8531e-03	0.235287	2
hDel_1249__3750	9	1.6814e-02	1.1471e-02	0.249825	2
hDel_1003__12750	14	1.7236e-02	9.2705e-03	0.237675	3
hDel_1003__1250	5	1.7351e-02	9.2661e-03	0.237675	2
hDel_6185__3250	7	1.7499e-02	7.9397e-03	0.235663	2
hDel_5037__750	11	1.8705e-02	1.2737e-02	0.250590	3
hDel_3060__1750	8	1.8880e-02	9.2095e-03	0.237675	2
hDel_1930__1500	23	1.8958e-02	1.0183e-02	0.240399	4
hDel_1385__1750	6	1.8959e-02	9.2831e-03	0.237675	2
hDel_4149__5750	7	1.9276e-02	9.1008e-03	0.237675	2
hDel_1005__500	7	1.9276e-02	9.1008e-03	0.237675	1
hDel_5964__250	7	1.9276e-02	9.1008e-03	0.237675	1
hDel_6418__103500	7	1.9276e-02	9.1008e-03	0.237675	1
hDel_5689__1250	30	1.9284e-02	1.0544e-02	0.241492	4
hDel_6146__3250	22	1.9407e-02	1.1437e-02	0.249825	4
hDel_2239__250	20	1.9477e-02	1.0656e-02	0.241492	2
hDel_4623__250	17	1.9487e-02	1.1689e-02	0.250590	3
hDel_7002__6000	18	1.9619e-02	1.2587e-02	0.250590	3
hDel_4229__6000	19	1.9654e-02	1.1866e-02	0.250590	3
hDel_1249__4000	19	1.9731e-02	1.1866e-02	0.250590	3
hDel_4859__6750	27	1.9904e-02	1.3312e-02	0.253675	4
hDel_172__5000	18	2.0036e-02	1.2821e-02	0.250590	2
hDel_5810__500	23	2.0552e-02	1.1400e-02	0.249825	2
hDel_6468__750	25	2.0693e-02	1.1838e-02	0.250590	2
hDel_2823__1500	12	2.0788e-02	1.4383e-02	0.265056	3
hDel_1003__6750	6	2.0794e-02	1.0568e-02	0.241492	2
hDel_422__1000	6	2.1414e-02	1.0900e-02	0.245362	2
hDel_6574__11750	32	2.1547e-02	1.2415e-02	0.250590	5
hDel_553__1250	25	2.1692e-02	1.2320e-02	0.250590	2
hDel_1058__0	8	2.1999e-02	1.0208e-02	0.240399	1
hDel_1997__2250	8	2.1999e-02	1.0208e-02	0.240399	1
hDel_845__250	8	2.1999e-02	1.0208e-02	0.240399	1
hDel_1997__0	8	2.1999e-02	1.0208e-02	0.240399	1
hDel_6106__0	8	2.1999e-02	1.0208e-02	0.240399	2
hDel_6098__0	8	2.1999e-02	1.0208e-02	0.240399	1
hDel_5738__67750	8	2.1999e-02	1.0208e-02	0.240399	1
hDel_1635__500	8	2.1999e-02	1.0208e-02	0.240399	1
hDel_2371__0	8	2.1999e-02	1.0208e-02	0.240399	1
hDel_5166__250	8	2.2099e-02	1.0208e-02	0.240399	2
hDel_278__0	5	2.2517e-02	1.4109e-02	0.262901	2
hDel_514__7000	30	2.2627e-02	1.3224e-02	0.253675	4
hDel_1776__500	31	2.3331e-02	1.2556e-02	0.250590	3
hDel_3722__3000	11	2.3383e-02	1.8663e-02	0.286845	3
hDel_636__31000	6	2.3504e-02	1.2637e-02	0.250590	2
hDel_5637__1000	31	2.3551e-02	1.2900e-02	0.250590	5
hDel_6091__1250	12	2.3742e-02	1.6278e-02	0.272250	3
hDel_5864__1750	19	2.3938e-02	1.5537e-02	0.266917	3
hDel_3303__0	5	2.4392e-02	1.4814e-02	0.266917	2
hDel_4564__0	23	2.4418e-02	1.4687e-02	0.266917	4
hDel_7002__0	26	2.4452e-02	1.4302e-02	0.265014	2
hDel_2028__1250	13	2.4595e-02	1.7807e-02	0.284765	2
hDel_1546__750	8	2.4681e-02	1.1295e-02	0.249825	2
hDel_4724__4500	9	2.4715e-02	1.2926e-02	0.250590	1
hDel_4944__1250	9	2.4715e-02	1.2926e-02	0.250590	1
hDel_5502__10750	9	2.4715e-02	1.2926e-02	0.250590	1
hDel_6105__0	9	2.4715e-02	1.2926e-02	0.250590	1
hDel_1117__14250	9	2.4715e-02	1.2926e-02	0.250590	1
hDel_3483__4500	9	2.4715e-02	1.2926e-02	0.250590	1
hDel_681__2750	9	2.4715e-02	1.2926e-02	0.250590	1
hDel_1005__0	6	2.4883e-02	1.3780e-02	0.258203	2
hDel_3091__2000	12	2.4892e-02	1.7753e-02	0.284765	2
hDel_6854__2000	29	2.5193e-02	1.6891e-02	0.276921	4
hDel_1168__3000	5	2.5813e-02	1.4815e-02	0.266917	2
hDel_473__250	6	2.6131e-02	1.3780e-02	0.258203	2
hDel_6467__0	16	2.6420e-02	1.4650e-02	0.266917	3
hDel_843__500	6	2.6435e-02	1.3780e-02	0.258203	2
hDel_5738__11250	10	2.7423e-02	1.5757e-02	0.266917	1
hDel_2248__750	10	2.7423e-02	1.5757e-02	0.266917	1
hDel_3722__2750	10	2.7423e-02	1.5757e-02	0.266917	2
hDel_6899__5750	10	2.7423e-02	1.5757e-02	0.266917	2
hDel_2093__11750	10	2.7423e-02	1.5757e-02	0.266917	1
hDel_855__1750	10	2.7423e-02	1.5757e-02	0.266917	1
hDel_6944__750	10	2.7423e-02	1.5757e-02	0.266917	1
hDel_738__250	10	2.7423e-02	1.5757e-02	0.266917	1
hDel_1460__750	10	2.7423e-02	1.5757e-02	0.266917	1
hDel_5736__250	10	2.7423e-02	1.5757e-02	0.266917	1
hDel_6904__1250	27	2.7518e-02	1.6444e-02	0.273031	3
hDel_3059__18000	5	2.7715e-02	1.6563e-02	0.273665	2
hDel_3838__0	18	2.7730e-02	1.6237e-02	0.272250	3
hDel_794__4750	5	2.7794e-02	1.6926e-02	0.276921	1
hDel_4157__3000	8	2.7803e-02	1.3282e-02	0.253675	2
hDel_94__1000	30	2.7872e-02	1.9148e-02	0.286845	5
hDel_50__6500	11	2.8455e-02	1.8996e-02	0.286845	2
hDel_6441__1000	26	2.8587e-02	1.6316e-02	0.272250	4
hDel_5975__0	13	2.9684e-02	2.0526e-02	0.295653	3
hDel_6651__1250	21	2.9715e-02	1.9538e-02	0.291253	3
hDel_3326__2000	12	2.9734e-02	2.2945e-02	0.295653	3
hDel_6144__750	16	2.9899e-02	1.8384e-02	0.286845	3
hDel_5962__2750	11	2.9916e-02	1.8996e-02	0.286845	2
hDel_2823__2000	11	3.0123e-02	1.8996e-02	0.286845	1
hDel_6057__8000	11	3.0123e-02	1.8996e-02	0.286845	1
hDel_399__2250	11	3.0123e-02	1.8996e-02	0.286845	1
hDel_6418__189750	11	3.0123e-02	1.8996e-02	0.286845	1
hDel_366__500	11	3.0123e-02	1.8996e-02	0.286845	1
hDel_6440__0	12	3.0503e-02	2.3359e-02	0.295653	2
hDel_500__500	31	3.0521e-02	2.0636e-02	0.295653	5
hDel_6811__0	23	3.0685e-02	1.7176e-02	0.279655	3
hDel_7107__3500	34	3.0749e-02	1.7767e-02	0.284765	5
hDel_71__500	9	3.0909e-02	1.5047e-02	0.266917	2
hDel_3426__750	41	3.0995e-02	1.7830e-02	0.284765	5
hDel_4618__2250	5	3.1460e-02	2.0059e-02	0.295080	1
hDel_5648__1750	26	3.1566e-02	1.8639e-02	0.286845	4
hDel_2620__3000	17	3.1699e-02	1.8629e-02	0.286845	2
hDel_450__1000	31	3.1896e-02	2.1605e-02	0.295653	4
hDel_5648__2000	28	3.2374e-02	1.9157e-02	0.286845	2
hDel_6303__750	12	3.2816e-02	2.3359e-02	0.295653	2
hDel_6418__187000	12	3.2816e-02	2.3359e-02	0.295653	1
hDel_5476__0	12	3.2816e-02	2.3359e-02	0.295653	1
hDel_7235__14250	12	3.2816e-02	2.3359e-02	0.295653	1
hDel_6574__11250	12	3.2816e-02	2.3359e-02	0.295653	1
hDel_4706__3250	12	3.2816e-02	2.3359e-02	0.295653	1
hDel_3897__4250	12	3.2816e-02	2.3359e-02	0.295653	1
hDel_3194__0	12	3.2816e-02	2.3359e-02	0.295653	1
hDel_6190__4750	12	3.2816e-02	2.3359e-02	0.295653	1
hDel_923__6250	12	3.2816e-02	2.3359e-02	0.295653	1
hDel_4204__22500	12	3.2816e-02	2.3359e-02	0.295653	1
