group_id	items_in_group	lo_value	p	FDR	goodsgrna
hDel_6771__500	6	1.4443e-03	1.0220e-03	0.326148	2
hDel_1629__0	12	1.4525e-03	7.8131e-04	0.296431	2
hDel_4397__3250	10	1.5268e-03	6.6184e-04	0.262262	2
hDel_3388__0	7	1.5381e-03	1.0059e-03	0.326148	2
hDel_4460__250	10	1.6242e-03	6.6184e-04	0.262262	2
hDel_5058__-250	7	1.6254e-03	1.1499e-03	0.342907	2
hDel_6053__250	8	1.6422e-03	9.9039e-04	0.325271	2
hDel_4564__250	8	1.6638e-03	9.9039e-04	0.325271	2
hDel_3897__4000	8	1.7151e-03	9.9067e-04	0.325271	2
hDel_404__0	7	1.7195e-03	1.1983e-03	0.350101	2
hDel_6966__2500	8	1.7255e-03	1.0932e-03	0.336501	2
hDel_3071__2750	9	1.7790e-03	1.0404e-03	0.326148	2
hDel_1460__750	10	1.7940e-03	8.7838e-04	0.299922	2
hDel_4004__250	9	1.8300e-03	1.0404e-03	0.326148	2
hDel_3826__0	10	1.8666e-03	8.7838e-04	0.299922	2
hDel_5367__2750	10	1.9164e-03	8.7867e-04	0.299922	2
hDel_81__0	9	1.9218e-03	1.0406e-03	0.326148	2
hDel_3548__0	7	1.9249e-03	1.4157e-03	0.390455	2
hDel_2961__3000	10	1.9476e-03	8.7867e-04	0.299922	2
hDel_4397__18500	8	1.9748e-03	1.3244e-03	0.377076	2
hDel_4340__0	12	1.9945e-03	8.8929e-04	0.300573	2
hDel_1519__9500	8	2.0530e-03	1.3244e-03	0.377076	2
hDel_51__0	10	2.0533e-03	8.7867e-04	0.299922	2
hDel_118__1250	10	2.0604e-03	8.7867e-04	0.299922	2
hDel_6944__500	9	2.0651e-03	1.1710e-03	0.345054	2
hDel_6867__0	10	2.0676e-03	8.7867e-04	0.299922	2
hDel_6271__0	11	2.1229e-03	1.1538e-03	0.342907	2
hDel_5785__2250	10	2.1654e-03	1.1443e-03	0.342907	2
hDel_696__250	8	2.1702e-03	1.5754e-03	0.421099	2
hDel_2028__250	10	2.1911e-03	1.1446e-03	0.342907	2
hDel_6260__250	8	2.1934e-03	1.5754e-03	0.421099	2
hDel_4093__250	8	2.2461e-03	1.5757e-03	0.421099	2
hDel_1481__750	9	2.2935e-03	1.4335e-03	0.392229	2
hDel_6034__0	7	2.3157e-03	2.3138e-03	0.510488	2
hDel_3103__0	9	2.4198e-03	1.7267e-03	0.441034	2
hDel_5623__0	10	2.4328e-03	1.2865e-03	0.372702	2
hDel_4706__500	8	2.4599e-03	1.7204e-03	0.441034	2
hDel_6301__0	8	2.4661e-03	1.7204e-03	0.441034	2
hDel_3711__3000	9	2.4929e-03	1.7270e-03	0.441034	2
hDel_6456__61250	8	2.5187e-03	1.8568e-03	0.454076	2
hDel_3548__250	8	2.5499e-03	1.8568e-03	0.454076	2
hDel_516__40000	8	2.5687e-03	1.8568e-03	0.454076	2
hDel_3611__500	8	2.6002e-03	1.8571e-03	0.454076	2
hDel_5069__0	12	2.6673e-03	1.3560e-03	0.377076	2
hDel_6012__500	10	2.6785e-03	1.6012e-03	0.424638	2
hDel_790__0	12	2.7313e-03	1.3560e-03	0.377076	2
hDel_6119__4000	10	2.7849e-03	1.7713e-03	0.445725	2
hDel_6119__3750	10	2.7849e-03	1.7713e-03	0.445725	2
hDel_6754__0	8	2.7980e-03	2.0079e-03	0.484075	2
hDel_943__-250	11	2.8193e-03	1.6558e-03	0.435757	2
hDel_50__2250	8	2.8456e-03	2.3261e-03	0.510488	2
hDel_6528__1000	8	2.8589e-03	2.3261e-03	0.510488	2
hDel_1486__-250	12	2.9532e-03	1.3563e-03	0.377076	2
hDel_5519__1500	10	3.0294e-03	2.1529e-03	0.494884	2
hDel_5964__250	10	3.0943e-03	2.1529e-03	0.494884	2
hDel_5964__0	10	3.0943e-03	2.1529e-03	0.494884	2
hDel_6944__750	8	3.1604e-03	3.0128e-03	0.510488	2
hDel_4574__0	10	3.1751e-03	2.1532e-03	0.494884	2
hDel_4574__250	10	3.1751e-03	2.1532e-03	0.494884	2
hDel_3388__250	10	3.2392e-03	2.1532e-03	0.494884	2
hDel_7094__3250	9	3.2493e-03	2.4404e-03	0.510488	2
hDel_422__0	9	3.2772e-03	2.4404e-03	0.510488	2
hDel_516__40250	9	3.2812e-03	2.4404e-03	0.510488	2
hDel_4529__18000	10	3.2815e-03	2.1532e-03	0.494884	2
hDel_4397__750	10	3.3827e-03	2.3583e-03	0.510488	2
hDel_4397__1000	10	3.3827e-03	2.3583e-03	0.510488	2
hDel_6850__250	9	3.4635e-03	2.6265e-03	0.510488	2
hDel_6271__-250	14	3.4683e-03	1.9284e-03	0.468170	2
hDel_4093__0	10	3.5663e-03	2.5625e-03	0.510488	2
hDel_404__250	10	3.6176e-03	2.5625e-03	0.510488	2
hDel_6763__0	12	3.8118e-03	2.3692e-03	0.510488	2
hDel_1025__8250	10	3.8793e-03	2.7891e-03	0.510488	2
hDel_1025__8500	10	3.8793e-03	2.7891e-03	0.510488	2
hDel_3037__0	10	3.8841e-03	2.7891e-03	0.510488	2
hDel_4120__0	9	3.9376e-03	3.9025e-03	0.510488	2
hDel_2564__2750	9	4.0650e-03	3.9025e-03	0.510488	2
hDel_1508__8500	10	4.0799e-03	3.0180e-03	0.510488	2
hDel_81__-250	13	4.0824e-03	2.3293e-03	0.510488	2
hDel_6771__250	10	4.2197e-03	3.0183e-03	0.510488	2
hDel_133__500	10	4.2753e-03	3.2517e-03	0.510488	2
hDel_6933__0	10	4.3311e-03	3.2517e-03	0.510488	2
hDel_766__0	10	4.3822e-03	3.2520e-03	0.510488	2
hDel_6468__5750	10	4.6683e-03	4.5444e-03	0.510488	2
hDel_6468__5500	10	4.6683e-03	4.5444e-03	0.510488	2
hDel_7040__12250	10	4.6841e-03	4.5444e-03	0.510488	2
hDel_6125__750	5	4.8028e-03	3.4791e-03	0.510488	1
hDel_662__1250	5	4.8028e-03	3.4791e-03	0.510488	1
hDel_6125__1000	5	4.8028e-03	3.4791e-03	0.510488	1
hDel_7021__45000	5	4.8028e-03	3.4791e-03	0.510488	1
hDel_7021__40750	5	4.8028e-03	3.4791e-03	0.510488	1
