sgRNA	Gene	t0_C3624K	rep1_C3624K	rep2_C3624K
hDel_6651:151	hDel_6651	5542	5653	6638
hDel_2959:20	hDel_2959	4660	2948	4444
hDel_6062:45	hDel_6062	4803	6009	5313
panTro6_CTRL280	panTro6_CTRL	1842	1649	2585
ORC5:4	ORC5	2852	111	184
hDel_5487:54	hDel_5487	3644	2595	3123
hDel_5980:49	hDel_5980	3970	3695	5044
hDel_1904:82	hDel_1904	2840	2259	3406
hDel_6125:131	hDel_6125	3212	2609	3063
hDel_1267:16	hDel_1267	4329	3865	3868
hDel_3059:238	hDel_3059	2641	3507	1959
hDel_50:271	hDel_50	2973	3170	3537
hDel_6931:48	hDel_6931	3042	3790	3444
hDel_6104:11	hDel_6104	2947	4927	3421
hDel_6447:26	hDel_6447	2854	2556	2995
panTro6_CTRL1302	panTro6_CTRL	5772	5189	5288
hDel_5595:107	hDel_5595	3469	3188	4008
hDel_871:46	hDel_871	4792	4607	6378
hDel_94:109	hDel_94	6071	5426	7168
hDel_1629:38	hDel_1629	2557	3303	3437
hDel_6048:150	hDel_6048	4909	4293	3885
hDel_4397:29	hDel_4397	5739	4222	4524
hDel_3722:117	hDel_3722	4783	208	319
hDel_6234:343	hDel_6234	3755	3208	3975
hDel_5355:76	hDel_5355	4518	4161	3718
hDel_5829:25	hDel_5829	2941	3039	3249
hDel_6520:11	hDel_6520	4675	5343	5324
hDel_4479:30	hDel_4479	4580	3371	5091
hDel_94:52	hDel_94	3531	3313	4247
hDel_765:13	hDel_765	2370	3050	2234
hDel_845:398	hDel_845	3822	3611	3717
hDel_293:73	hDel_293	4216	4350	6115
hDel_6811:270	hDel_6811	2762	2128	2597
hDel_399:55	hDel_399	3768	3494	4983
hDel_3623:47	hDel_3623	2912	3045	3594
panTro6_CTRL2155	panTro6_CTRL	4334	4143	4880
hDel_2545:35	hDel_2545	3117	3374	3537
hDel_7051:34	hDel_7051	2635	2208	3273
hDel_6651:134	hDel_6651	4780	5090	6367
hDel_5049:31	hDel_5049	3781	3785	4283
hDel_6754:110	hDel_6754	3344	3265	3077
hDel_6062:54	hDel_6062	7563	9168	10462
hDel_6849:260	hDel_6849	3468	2820	3487
hDel_6634:57	hDel_6634	3981	2944	3288
hDel_5286:244	hDel_5286	4856	4144	5455
hDel_1863:27	hDel_1863	3225	2547	2772
hDel_2020:220	hDel_2020	1821	1850	2371
hDel_6048:143	hDel_6048	4725	4707	4960
hDel_6048:183	hDel_6048	5620	5751	4614
hDel_3530:121	hDel_3530	1740	1595	1718
hDel_5671:171	hDel_5671	4061	5210	6471
hDel_7156:66	hDel_7156	1052	1357	1876
hDel_6113:131	hDel_6113	3960	3828	4993
hDel_6651:17	hDel_6651	5171	4352	4021
hDel_1635:22	hDel_1635	2106	2215	2723
hDel_2234:43	hDel_2234	1361	990	1094
hDel_2020:178	hDel_2020	5073	4635	4755
hDel_1094:71	hDel_1094	1742	2211	2067
hDel_2555:61	hDel_2555	3023	3634	3451
hDel_3623:52	hDel_3623	2285	2093	2143
hDel_330:113	hDel_330	1754	1834	2250
hDel_6418:92	hDel_6418	4546	1225	1177
hDel_4926:68	hDel_4926	3894	3001	2924
hDel_4393:72	hDel_4393	3917	2955	2784
hDel_5623:3	hDel_5623	3745	4409	5483
hDel_5488:23	hDel_5488	3981	3005	4286
hDel_2020:410	hDel_2020	4445	4650	4392
hDel_349:42	hDel_349	2733	2347	1842
hDel_3181:162	hDel_3181	2687	2185	1824
hDel_2055:56	hDel_2055	4037	4117	4644
hDel_5212:7	hDel_5212	2373	3011	2641
hDel_6057:96	hDel_6057	3994	3765	2778
hDel_1497:7	hDel_1497	4472	2977	3508
hDel_3407:62	hDel_3407	4069	3310	4348
hDel_4720:196	hDel_4720	2692	1254	1954
SGK223:5	SGK223	5090	13767	15033
hDel_5337:116	hDel_5337	3018	2311	2703
hDel_6002:248	hDel_6002	1828	964	870
hDel_4564:93	hDel_4564	3255	2084	2560
hDel_11:119	hDel_11	2557	2621	2703
hDel_1478:37	hDel_1478	3654	3485	3906
hDel_1776:68	hDel_1776	5071	3848	5031
hDel_5962:64	hDel_5962	4358	4143	5109
hDel_5488:88	hDel_5488	4355	4105	3715
hDel_4623:118	hDel_4623	2824	3301	1871
hDel_5957:68	hDel_5957	2737	1951	3031
