sgRNA	Gene	t0_C3624K	rep1_C3624K	rep2_C3624K
hDel_5006:6	hDel_5006	4505	4353	4705
hDel_2902:54	hDel_2902	4184	3979	4476
hDel_6318:14	hDel_6318	5006	3274	4954
hDel_2143:28	hDel_2143	2741	2977	3977
hDel_2610:201	hDel_2610	4134	4709	4803
hDel_5337:41	hDel_5337	4895	3735	4069
hDel_5286:232	hDel_5286	4966	4738	6401
hDel_6103:14	hDel_6103	3235	2902	3588
hDel_5650:48	hDel_5650	2699	2735	3052
hDel_4397:204	hDel_4397	5128	4019	4121
hDel_3373:57	hDel_3373	6025	3938	5879
hDel_871:120	hDel_871	3700	4245	4438
hDel_6304:93	hDel_6304	4947	5825	6396
hDel_6973:22	hDel_6973	3848	2837	4222
hDel_6304:104	hDel_6304	5001	4121	4407
hDel_4890:20	hDel_4890	5722	2203	3222
hDel_5006:47	hDel_5006	2184	2816	3098
hDel_2952:93	hDel_2952	4594	4676	3755
hDel_1939:112	hDel_1939	2146	3543	2622
hDel_3407:168	hDel_3407	3383	4158	3815
hDel_1003:203	hDel_1003	4262	3403	3846
hDel_4405:42	hDel_4405	1188	1600	1373
hDel_5804:40	hDel_5804	2279	3260	3190
hDel_11:77	hDel_11	3050	607	701
hDel_118:148	hDel_118	2452	2492	2986
hDel_935:16	hDel_935	1724	2028	1696
hDel_6849:288	hDel_6849	5562	5277	6210
hDel_3326:11	hDel_3326	3650	3241	4214
hDel_1904:62	hDel_1904	3573	2737	4762
hDel_6663:11	hDel_6663	5197	5730	6070
hDel_7234:66	hDel_7234	3340	3087	2768
hDel_3021:29	hDel_3021	6939	6360	7187
hDel_5660:85	hDel_5660	3759	3511	3545
hDel_1608:239	hDel_1608	5099	5161	5163
hDel_3035:9	hDel_3035	3804	3720	4040
hDel_5669:10	hDel_5669	5485	4173	4471
hDel_5689:180	hDel_5689	4748	4468	4063
hDel_5058:14	hDel_5058	1943	1602	1524
hDel_53:4	hDel_53	5081	4803	5068
hDel_2311:110	hDel_2311	5326	3834	3911
hDel_5962:73	hDel_5962	4797	4779	6524
hDel_794:251	hDel_794	4905	5259	5597
hDel_923:150	hDel_923	3089	3391	3492
hDel_6687:32	hDel_6687	1134	833	1061
hDel_5476:59	hDel_5476	3731	2806	3784
hDel_2997:72	hDel_2997	3656	4012	4497
hDel_1231:51	hDel_1231	5075	3098	3474
hDel_2623:27	hDel_2623	3525	3108	4284
hDel_7009:19	hDel_7009	3084	2848	3388
hDel_6651:50	hDel_6651	2585	2777	2354
hDel_6113:73	hDel_6113	4686	4778	5177
hDel_4625:174	hDel_4625	4854	3863	5603
hDel_3059:199	hDel_3059	2784	2955	3654
hDel_6663:173	hDel_6663	5014	5694	5126
hDel_6274:261	hDel_6274	1289	928	1316
hDel_843:3	hDel_843	1573	1386	2135
hDel_6185:101	hDel_6185	4758	3808	4361
hDel_7002:195	hDel_7002	4308	3783	3781
hDel_1003:46	hDel_1003	3893	3116	3511
hDel_4154:11	hDel_4154	4139	4403	4564
hDel_4277:168	hDel_4277	3863	3122	3529
hDel_3293:29	hDel_3293	4122	4551	4873
hDel_6185:323	hDel_6185	4281	4292	5028
hDel_6634:14	hDel_6634	4208	3102	3397
hDel_6185:167	hDel_6185	3646	2674	3507
hDel_76:339	hDel_76	4858	3428	4024
panTro6_CTRL1642	panTro6_CTRL	4201	2843	3657
hDel_2497:244	hDel_2497	3418	3613	4330
hDel_6091:64	hDel_6091	6280	4722	4984
hDel_4154:191	hDel_4154	4915	4587	4693
hDel_6852:71	hDel_6852	7586	6776	7785
hDel_330:180	hDel_330	2876	3601	3924
hDel_4027:57	hDel_4027	2926	2552	3546
hDel_794:201	hDel_794	4421	4409	4459
hDel_6447:149	hDel_6447	3514	4482	5143
hDel_5909:20	hDel_5909	6271	5887	7085
hDel_6763:126	hDel_6763	3042	2426	3966
hDel_845:359	hDel_845	4378	3221	4431
hDel_6113:138	hDel_6113	3900	3676	3302
panTro6_CTRL310	panTro6_CTRL	4725	3821	5327
hDel_6274:186	hDel_6274	2897	3075	3551
hDel_6269:39	hDel_6269	2991	3335	3678
hDel_2260:47	hDel_2260	4679	3963	4444
hDel_2657:181	hDel_2657	3782	3053	3524
hDel_3099:68	hDel_3099	2388	2475	2062
hDel_6053:71	hDel_6053	2417	3071	4534
hDel_3388:179	hDel_3388	2511	2307	2783
hDel_6053:289	hDel_6053	1636	1430	1820
hDel_6849:347	hDel_6849	3055	3336	3502
hDel_1078:111	hDel_1078	4599	5419	4609
hDel_3407:164	hDel_3407	4722	3823	4316
hDel_6206:198	hDel_6206	4108	3309	4047
hDel_1585:65	hDel_1585	5511	5806	6802
hDel_3596:17	hDel_3596	3186	3663	5523
hDel_4284:109	hDel_4284	3827	3463	4828
hDel_6410:51	hDel_6410	2489	2299	2083
hDel_5452:68	hDel_5452	3044	3498	4366
hDel_2055:121	hDel_2055	4001	3523	4421
hDel_2977:29	hDel_2977	4446	4139	5318
hDel_5669:35	hDel_5669	3381	5718	4009
hDel_5688:139	hDel_5688	2149	1672	2069
hDel_3037:67	hDel_3037	2707	3224	3813
hDel_1267:68	hDel_1267	2823	2558	3398
hDel_922:40	hDel_922	2083	1996	1585
hDel_5508:126	hDel_5508	4321	3393	4930
hDel_2055:139	hDel_2055	4793	4018	5049
hDel_2020:421	hDel_2020	3747	3489	3902
hDel_961:53	hDel_961	2395	2913	4054
hDel_5864:124	hDel_5864	3433	3881	3647
hDel_6663:128	hDel_6663	4717	4434	5865
hDel_293:176	hDel_293	4519	4000	4194
hDel_1024:47	hDel_1024	3174	3851	4076
hDel_6060:15	hDel_6060	2458	2229	2372
hDel_3373:74	hDel_3373	6667	6009	6613
hDel_11:49	hDel_11	2723	2946	3449
hDel_1005:21	hDel_1005	5240	4644	6304
hDel_7002:52	hDel_7002	5653	4777	5606
hDel_2977:212	hDel_2977	3112	2559	2557
SUFU:7	SUFU	4217	3884	4041
hDel_2020:170	hDel_2020	2886	3370	3831
hDel_4261:17	hDel_4261	3853	2942	4799
hDel_4530:121	hDel_4530	3682	1515	1669
hDel_6048:202	hDel_6048	2401	2445	3106
hDel_7030:20	hDel_7030	2479	2220	3124
panTro6_CTRL1812	panTro6_CTRL	3116	2968	3454
hDel_6146:86	hDel_6146	2921	2668	2828
hDel_553:33	hDel_553	4487	689	806
hDel_3989:69	hDel_3989	6010	5564	6681
hDel_4618:22	hDel_4618	4196	3688	4221
hDel_5637:82	hDel_5637	4375	3240	3790
hDel_4397:5	hDel_4397	6076	3724	3412
hDel_3879:12	hDel_3879	3404	4281	3700
hDel_6633:359	hDel_6633	2650	1909	1734
hDel_1267:94	hDel_1267	3767	3415	5194
hDel_516:69	hDel_516	1864	2510	2418
hDel_6899:227	hDel_6899	3361	2789	3644
hDel_2775:4	hDel_2775	2807	2901	2317
hDel_2902:1	hDel_2902	3671	3498	3578
hDel_6053:131	hDel_6053	2258	2555	2770
hDel_6633:196	hDel_6633	5489	5785	5470
hDel_2136:63	hDel_2136	4582	3188	4468
hDel_3181:150	hDel_3181	2845	1564	2672
hDel_2865:54	hDel_2865	2229	2425	2844
hDel_6206:85	hDel_6206	3509	3482	3730
hDel_4082:219	hDel_4082	3668	3103	4855
hDel_4759:4	hDel_4759	1656	1256	2865
hDel_2139:144	hDel_2139	4140	3119	3857
hDel_2311:141	hDel_2311	5957	4931	6840
hDel_5488:192	hDel_5488	2926	3227	2570
hDel_2620:84	hDel_2620	2546	2844	2236
hDel_4543:33	hDel_4543	3999	3892	5186
hDel_6303:94	hDel_6303	2671	2203	2851
hDel_6185:11	hDel_6185	3205	3276	3122
hDel_5068:8	hDel_5068	2611	2703	2534
hDel_4625:106	hDel_4625	4806	3316	4778
hDel_6854:44	hDel_6854	3512	3707	4138
hDel_118:139	hDel_118	2040	2246	2356
hDel_4443:37	hDel_4443	2301	1714	1882
hDel_923:295	hDel_923	1893	2183	2458
hDel_7235:508	hDel_7235	1500	1206	1184
hDel_2136:56	hDel_2136	2859	2649	3116
hDel_51:175	hDel_51	4741	4308	6690
hDel_450:9	hDel_450	4400	3905	3957
hDel_6002:223	hDel_6002	2817	3079	2614
hDel_3013:13	hDel_3013	4735	2919	3447
hDel_5959:42	hDel_5959	3837	2997	3440
hDel_2020:403	hDel_2020	4761	3269	5865
hDel_1984:12	hDel_1984	6185	5939	8324
panTro6_CTRL1363	panTro6_CTRL	1493	2550	2074
hDel_4720:13	hDel_4720	5343	5113	5966
hDel_4720:103	hDel_4720	1942	1131	2053
hDel_399:60	hDel_399	4379	3117	5353
hDel_5623:42	hDel_5623	3567	2708	3339
hDel_2139:58	hDel_2139	2471	1920	2045
hDel_6849:94	hDel_6849	2156	2394	2418
hDel_6765:142	hDel_6765	1586	2084	2368
hDel_5637:70	hDel_5637	3916	4733	5296
hDel_2311:57	hDel_2311	2843	2674	3396
hDel_6878:10	hDel_6878	4782	3870	4451
panTro6_CTRL2737	panTro6_CTRL	5873	5533	7124
hDel_5488:163	hDel_5488	4525	4599	5701
hDel_6563:35	hDel_6563	3668	3279	2273
hDel_1585:72	hDel_1585	3371	2626	3836
hDel_6518:139	hDel_6518	3113	3178	2792
hDel_6119:148	hDel_6119	4607	5821	4938
hDel_1997:175	hDel_1997	2604	3391	3859
hDel_5412:53	hDel_5412	3594	3471	2859
hDel_2354:186	hDel_2354	4470	2617	3599
hDel_5795:12	hDel_5795	2603	2427	2016
hDel_3933:72	hDel_3933	3686	3637	4499
hDel_583:64	hDel_583	4949	5460	4763
hDel_4839:54	hDel_4839	5640	3524	4912
hDel_2028:6	hDel_2028	4756	4555	4712
hDel_4686:84	hDel_4686	4657	4313	5352
hDel_6304:115	hDel_6304	4929	5161	6709
hDel_6190:143	hDel_6190	3854	3235	3951
panTro6_CTRL2218	panTro6_CTRL	2466	3085	3979
hDel_6143:15	hDel_6143	5175	4982	5329
hDel_6632:161	hDel_6632	4223	4543	5261
hDel_6304:126	hDel_6304	1748	2237	2308
hDel_6765:154	hDel_6765	5204	5214	6643
hDel_1076:110	hDel_1076	2914	3054	2992
KIAA1429:3	KIAA1429	5409	5315	5126
hDel_2028:139	hDel_2028	6267	5326	4998
hDel_4166:137	hDel_4166	3982	3914	3578
hDel_4229:24	hDel_4229	3247	3070	3850
hDel_1714:2	hDel_1714	4601	4692	6044
hDel_6303:81	hDel_6303	4258	4332	3972
hDel_2196:42	hDel_2196	2897	2113	2297
hDel_6765:124	hDel_6765	4532	4463	4001
hDel_6754:3	hDel_6754	4197	3408	4209
hDel_3726:130	hDel_3726	3048	3232	3835
hDel_1441:118	hDel_1441	2851	2756	3305
hDel_6314:49	hDel_6314	3962	674	782
hDel_7009:18	hDel_7009	3601	4295	4420
hDel_923:316	hDel_923	2937	2723	2867
hDel_2127:36	hDel_2127	2173	1411	1617
hDel_4759:25	hDel_4759	3076	4278	5276
BTAF1:7	BTAF1	6353	7329	6923
hDel_3567:41	hDel_3567	4911	4924	4909
hDel_4564:18	hDel_4564	3064	2403	3425
hDel_7227:50	hDel_7227	2322	2124	2454
hDel_6520:18	hDel_6520	3698	3337	3255
hDel_2977:139	hDel_2977	4871	4370	4402
hDel_5156:90	hDel_5156	2512	2464	3443
hDel_3060:132	hDel_3060	1392	1833	2308
hDel_5166:26	hDel_5166	1989	1919	1671
hDel_6015:55	hDel_6015	6160	4158	4829
hDel_578:58	hDel_578	4423	4629	4758
hDel_3426:24	hDel_3426	4087	3103	3494
hDel_3181:59	hDel_3181	5681	5672	4464
hDel_448:97	hDel_448	4380	4079	4030
hDel_1110:194	hDel_1110	4830	3432	4235
hDel_5689:174	hDel_5689	4327	3945	4880
hDel_51:31	hDel_51	3268	3609	4345
hDel_2610:202	hDel_2610	5289	4716	5672
hDel_6008:138	hDel_6008	3793	4099	3947
hDel_3130:31	hDel_3130	4198	4242	5121
hDel_5075:120	hDel_5075	4465	3560	4852
hDel_2879:102	hDel_2879	4946	4819	5083
hDel_2988:4	hDel_2988	3957	3098	3228
hDel_5980:52	hDel_5980	2121	1889	2405
hDel_6190:101	hDel_6190	3986	3824	5201
hDel_6878:223	hDel_6878	2479	2200	2303
panTro6_CTRL919	panTro6_CTRL	3191	2454	2076
hDel_6314:16	hDel_6314	7043	7280	9313
hDel_6635:32	hDel_6635	2871	2823	3405
hDel_1066:149	hDel_1066	5743	6519	5464
hDel_2997:32	hDel_2997	4456	4029	6149
hDel_2781:303	hDel_2781	1778	2013	2311
hDel_5412:144	hDel_5412	4367	5213	5337
hDel_1117:41	hDel_1117	6236	5251	5144
hDel_4625:55	hDel_4625	5296	4712	6441
hDel_2055:100	hDel_2055	6266	5338	7537
hDel_3303:284	hDel_3303	4587	3172	3387
hDel_5140:82	hDel_5140	3434	2686	2780
hDel_2977:138	hDel_2977	4341	4224	4091
hDel_3711:311	hDel_3711	4951	5303	5037
hDel_4781:102	hDel_4781	2417	2491	2007
hDel_3947:39	hDel_3947	5631	5489	7192
hDel_6849:281	hDel_6849	2358	2485	3246
hDel_4720:164	hDel_4720	4576	4632	5699
hDel_94:283	hDel_94	4883	4344	5603
hDel_2425:3	hDel_2425	1803	1832	2235
hDel_553:74	hDel_553	3226	2373	3708
hDel_1455:129	hDel_1455	5621	5449	4449
panTro6_CTRL1834	panTro6_CTRL	4786	5215	5333
hDel_118:210	hDel_118	2838	2171	2422
hDel_6119:77	hDel_6119	4544	4807	4032
hDel_293:65	hDel_293	3915	3833	3935
hDel_5006:35	hDel_5006	5118	5395	4061
hDel_2988:15	hDel_2988	1805	1587	2380
hDel_3388:10	hDel_3388	4035	4257	5607
hDel_6944:49	hDel_6944	2047	2308	2455
hDel_1094:197	hDel_1094	4083	3023	4022
hDel_2497:12	hDel_2497	809	831	729
hDel_6053:138	hDel_6053	5141	5295	5910
hDel_6103:35	hDel_6103	2583	2309	3050
hDel_4061:19	hDel_4061	3861	3820	4287
hDel_51:38	hDel_51	3683	4177	4678
hDel_6188:45	hDel_6188	4697	4463	5222
hDel_583:67	hDel_583	2801	2588	3033
hDel_7056:103	hDel_7056	6043	5378	5280
hDel_4149:223	hDel_4149	2042	1774	1409
hDel_2121:11	hDel_2121	2962	2845	3671
hDel_6110:67	hDel_6110	3327	2488	4202
hDel_5595:53	hDel_5595	2958	2936	3003
hDel_6849:223	hDel_6849	3132	3492	3481
hDel_1076:36	hDel_1076	933	948	1401
hDel_1740:59	hDel_1740	1927	1985	1758
hDel_6811:7	hDel_6811	3427	2215	2693
hDel_5508:43	hDel_5508	4961	5125	6435
hDel_5488:218	hDel_5488	1727	1230	2112
hDel_6833:57	hDel_6833	5413	4450	6006
hDel_1106:119	hDel_1106	5685	6674	8679
hDel_2020:236	hDel_2020	4684	4982	5001
hDel_6441:76	hDel_6441	3524	3462	3354
hDel_5637:111	hDel_5637	4539	3485	4990
hDel_5069:62	hDel_5069	5013	4453	4390
hDel_5337:24	hDel_5337	1854	1879	1701
hDel_3147:106	hDel_3147	2726	1810	2292
hDel_330:19	hDel_330	5923	5454	5472
hDel_7107:27	hDel_7107	4218	3324	4127
panTro6_CTRL2092	panTro6_CTRL	4909	3646	4846
hDel_928:4	hDel_928	7741	6787	10254
hDel_6574:195	hDel_6574	3725	3042	4194
hDel_1441:122	hDel_1441	2456	2957	2971
hDel_6503:68	hDel_6503	3915	3933	4383
hDel_4529:182	hDel_4529	6531	5484	6052
hDel_5648:313	hDel_5648	3757	1866	2216
hDel_6188:78	hDel_6188	5575	5052	4422
hDel_3897:149	hDel_3897	4040	3671	5846
hDel_6651:211	hDel_6651	6221	4574	5554
hDel_76:148	hDel_76	4741	4087	5008
hDel_6633:140	hDel_6633	4885	4788	4372
hDel_4839:74	hDel_4839	4977	3407	3328
hDel_1714:26	hDel_1714	4190	5404	5368
hDel_6234:412	hDel_6234	2943	3202	3999
hDel_6878:405	hDel_6878	5462	4068	4179
hDel_6053:83	hDel_6053	5384	7470	6742
hDel_1880:84	hDel_1880	4806	5121	5498
hDel_1385:9	hDel_1385	5191	4607	6014
hDel_1927:4	hDel_1927	3350	3237	3723
hDel_5487:11	hDel_5487	2977	2244	2740
hDel_6394:15	hDel_6394	3217	3298	3923
hDel_1267:102	hDel_1267	2317	2409	2721
hDel_6332:73	hDel_6332	4112	3728	3953
hDel_6849:145	hDel_6849	1852	1261	2356
hDel_3060:147	hDel_3060	983	676	1349
hDel_6944:48	hDel_6944	4324	3865	4406
hDel_6651:180	hDel_6651	2852	3778	3882
hDel_961:84	hDel_961	3290	2368	2841
hDel_2623:68	hDel_2623	4265	3909	4991
hDel_7028:17	hDel_7028	4790	5376	6034
BRAP:4	BRAP	5024	2084	3258
hDel_4390:41	hDel_4390	3741	3218	4337
hDel_1455:20	hDel_1455	1901	2123	1681
hDel_494:326	hDel_494	2754	2543	3368
hDel_1005:35	hDel_1005	4497	3932	4369
hDel_4154:105	hDel_4154	3528	2752	3980
hDel_845:279	hDel_845	3490	2920	3151
hDel_5909:80	hDel_5909	3586	2970	3075
hDel_3585:16	hDel_3585	2395	3170	4293
hDel_6849:314	hDel_6849	4998	4515	4084
hDel_5084:150	hDel_5084	2149	2002	2697
hDel_6811:14	hDel_6811	5162	5776	5701
hDel_94:108	hDel_94	3917	4443	4261
hDel_3623:89	hDel_3623	5511	5609	6314
hDel_3334:104	hDel_3334	2933	2425	3628
hDel_3099:67	hDel_3099	4224	2677	3880
hDel_6468:106	hDel_6468	4447	4533	4452
hDel_1062:8	hDel_1062	3882	2946	3614
hDel_2816:11	hDel_2816	4019	5353	4063
hDel_6015:84	hDel_6015	3407	3499	4139
hDel_1267:119	hDel_1267	3597	3395	3871
hDel_4759:53	hDel_4759	2750	2901	2740
hDel_6188:90	hDel_6188	3755	4000	4737
hDel_3455:19	hDel_3455	4131	3752	3755
hDel_6765:161	hDel_6765	7892	8517	6592
hDel_5864:70	hDel_5864	5939	4293	5913
hDel_4859:8	hDel_4859	3638	2991	3391
hDel_4839:26	hDel_4839	4765	3666	4271
hDel_6188:114	hDel_6188	4025	3726	3463
hDel_6502:52	hDel_6502	3453	3376	3711
hDel_2598:14	hDel_2598	4501	3253	4093
hDel_3037:35	hDel_3037	4399	3648	4188
hDel_935:188	hDel_935	4048	3628	4360
hDel_6631:151	hDel_6631	4395	4221	4470
hDel_6125:104	hDel_6125	3615	3297	3681
hDel_4120:69	hDel_4120	4025	3974	4863
hDel_4781:89	hDel_4781	4819	3598	4264
hDel_516:59	hDel_516	3182	3727	3324
hDel_5648:212	hDel_5648	690	864	1036
hDel_2289:9	hDel_2289	3546	4017	5290
hDel_2610:45	hDel_2610	4112	3411	3895
hDel_5669:15	hDel_5669	5684	5060	4386
hDel_681:54	hDel_681	4378	3121	3685
hDel_1629:68	hDel_1629	4117	4298	3596
hDel_6002:278	hDel_6002	6505	6222	5584
hDel_6190:66	hDel_6190	1854	1083	1817
hDel_5962:194	hDel_5962	4263	3918	4046
hDel_1003:306	hDel_1003	3407	3359	4028
hDel_6849:204	hDel_6849	3251	4352	5329
hDel_5487:40	hDel_5487	4760	4621	4419
IFT57:1	IFT57	3168	2993	2767
hDel_4736:44	hDel_4736	5271	5059	5773
hDel_5037:109	hDel_5037	2273	1683	1672
hDel_1003:102	hDel_1003	2101	1853	2745
hDel_1094:159	hDel_1094	4331	4541	5423
hDel_6441:39	hDel_6441	2972	1854	1898
hDel_5736:88	hDel_5736	6060	6160	6802
hDel_3426:231	hDel_3426	3144	2822	3558
hDel_6441:3	hDel_6441	4805	3577	4161
hDel_1267:141	hDel_1267	4143	3756	5096
hDel_6008:34	hDel_6008	2904	3092	4035
hDel_2967:56	hDel_2967	4365	5294	4654
hDel_7002:75	hDel_7002	3195	3155	3726
hDel_6008:17	hDel_6008	4680	3545	3580
panTro6_CTRL1193	panTro6_CTRL	4102	2760	2916
panTro6_CTRL2968	panTro6_CTRL	3927	4386	4815
hDel_1258:49	hDel_1258	3205	3386	2861
hDel_2590:34	hDel_2590	4666	3997	5290
hDel_681:137	hDel_681	4370	4141	4179
hDel_7028:35	hDel_7028	1518	972	1937
hDel_7088:12	hDel_7088	3375	2802	2832
hDel_5519:15	hDel_5519	2467	2944	3178
hDel_5476:14	hDel_5476	2492	2384	2905
hDel_51:43	hDel_51	8313	6901	8477
hDel_2555:72	hDel_2555	4879	4576	5062
hDel_5146:11	hDel_5146	4290	3498	4394
hDel_845:150	hDel_845	3886	4010	5119
hDel_2020:314	hDel_2020	2682	3031	3132
hDel_4283:168	hDel_4283	3628	4880	4541
hDel_1094:105	hDel_1094	3167	2475	2899
hDel_553:94	hDel_553	1907	1591	2240
hDel_3897:102	hDel_3897	2710	2371	3277
hDel_6188:238	hDel_6188	4958	4143	3774
hDel_6570:57	hDel_6570	3633	2949	4067
hDel_4154:27	hDel_4154	4220	4919	5883
hDel_6656:73	hDel_6656	2485	2937	3520
hDel_1078:77	hDel_1078	5700	5845	5934
hDel_6105:120	hDel_6105	4964	4827	4962
hDel_4530:47	hDel_4530	3472	4049	3526
hDel_450:129	hDel_450	4676	4303	5543
hDel_5864:176	hDel_5864	3697	3893	3830
MLF1IP:5	MLF1IP	3385	1150	1248
hDel_6332:19	hDel_6332	5142	3258	4778
hDel_5883:180	hDel_5883	1466	994	792
hDel_1246:37	hDel_1246	3821	3856	5402
hDel_6088:79	hDel_6088	2460	2348	3638
hDel_14:78	hDel_14	3631	242	231
panTro6_CTRL2961	panTro6_CTRL	4831	5311	5315
hDel_6878:6	hDel_6878	2642	2871	2739
hDel_2833:44	hDel_2833	5143	4687	5503
hDel_5084:2	hDel_5084	2859	2338	2294
hDel_251:167	hDel_251	5859	5388	6645
hDel_2028:120	hDel_2028	4376	3490	3776
hDel_5864:60	hDel_5864	3302	2828	3376
hDel_3334:64	hDel_3334	5914	5564	6483
hDel_1168:111	hDel_1168	3743	3575	5468
hDel_5452:144	hDel_5452	4049	4080	4207
hDel_5084:89	hDel_5084	4009	2852	4629
hDel_4601:73	hDel_4601	2933	2111	3977
hDel_5738:135	hDel_5738	2679	2814	3321
hDel_6274:219	hDel_6274	3593	3615	4127
hDel_2234:28	hDel_2234	1867	2686	3949
hDel_1003:300	hDel_1003	4310	6072	5178
hDel_726:84	hDel_726	4156	4697	6117
hDel_2610:6	hDel_2610	4871	4424	4383
hDel_4578:118	hDel_4578	2695	2897	2546
panTro6_CTRL1882	panTro6_CTRL	2210	2086	2481
hDel_6760:173	hDel_6760	2052	1372	1763
hDel_5006:54	hDel_5006	4542	3482	3526
hDel_4409:163	hDel_4409	3728	3661	3413
hDel_6185:123	hDel_6185	1580	1349	1315
hDel_4839:22	hDel_4839	1788	1151	1305
hDel_1460:64	hDel_1460	2455	2133	2806
hDel_278:9	hDel_278	3771	2897	4707
hDel_3091:30	hDel_3091	4670	5052	4418
hDel_5736:124	hDel_5736	5469	5714	5497
hDel_4578:191	hDel_4578	6665	5383	6868
hDel_2967:77	hDel_2967	4988	5142	4911
hDel_2020:500	hDel_2020	1416	1008	1023
hDel_4277:85	hDel_4277	6146	4245	6157
hDel_3303:261	hDel_3303	1623	1636	1867
hDel_2879:89	hDel_2879	6506	8235	8556
hDel_3059:407	hDel_3059	3896	2584	3041
hDel_2865:21	hDel_2865	3212	3664	3358
hDel_6502:5	hDel_6502	3428	2617	3044
hDel_600:43	hDel_600	4449	4333	5191
panTro6_CTRL1108	panTro6_CTRL	3620	3286	3511
hDel_6185:119	hDel_6185	742	980	1530
hDel_3059:241	hDel_3059	2918	2830	4129
hDel_2590:50	hDel_2590	4371	4554	3989
hDel_4460:47	hDel_4460	2422	2660	2275
hDel_1168:71	hDel_1168	4343	4181	3871
hDel_5037:15	hDel_5037	4951	3970	5113
hDel_5487:114	hDel_5487	5287	5245	5300
hDel_6318:8	hDel_6318	5475	4627	6091
hDel_681:43	hDel_681	2808	2788	3575
hDel_1037:55	hDel_1037	3268	2598	2499
hDel_473:3	hDel_473	2880	2330	3155
hDel_6633:370	hDel_6633	6051	4641	4874
hDel_532:35	hDel_532	7410	7416	7392
hDel_5476:4	hDel_5476	2465	1747	2211
hDel_7234:33	hDel_7234	4216	3692	3581
hDel_6146:169	hDel_6146	4303	3807	5556
hDel_845:415	hDel_845	3636	4204	4734
hDel_6144:31	hDel_6144	3104	2515	4071
hDel_94:241	hDel_94	4756	4971	5944
hDel_4548:7	hDel_4548	6042	4198	7090
hDel_2284:6	hDel_2284	3144	3396	3456
hDel_6811:248	hDel_6811	3127	3229	2729
hDel_312:93	hDel_312	4521	4613	4451
hDel_118:54	hDel_118	5291	5341	6173
panTro6_CTRL475	panTro6_CTRL	2892	3071	2092
hDel_1647:161	hDel_1647	4463	3033	4527
hDel_6456:75	hDel_6456	5172	6473	8358
hDel_5623:81	hDel_5623	4828	5379	6240
panTro6_CTRL2832	panTro6_CTRL	3138	2715	2966
hDel_553:204	hDel_553	2863	3949	3584
hDel_4686:26	hDel_4686	4062	4663	3860
hDel_5069:97	hDel_5069	4156	3743	3739
hDel_939:28	hDel_939	2445	2707	3298
hDel_1284:37	hDel_1284	3809	2739	3238
panTro6_CTRL1878	panTro6_CTRL	5151	4109	4211
hDel_6904:114	hDel_6904	4675	5220	5764
hDel_5689:113	hDel_5689	3108	3185	3339
hDel_2997:13	hDel_2997	6052	7016	5984
hDel_855:111	hDel_855	3684	3266	3504
hDel_4393:66	hDel_4393	4995	5457	6975
hDel_6318:174	hDel_6318	3254	3377	2763
hDel_5355:109	hDel_5355	2940	2113	2660
hDel_2055:116	hDel_2055	2171	2503	2391
panTro6_CTRL1190	panTro6_CTRL	2935	1893	3654
hDel_3303:238	hDel_3303	2712	2135	3572
hDel_3722:12	hDel_3722	2084	3118	3335
hDel_81:50	hDel_81	4203	3692	5429
hDel_532:181	hDel_532	6514	7785	8259
hDel_514:75	hDel_514	3387	4081	4822
panTro6_CTRL1307	panTro6_CTRL	1925	2484	2603
hDel_4207:3	hDel_4207	4570	4437	5170
hDel_3090:150	hDel_3090	3991	3526	3124
hDel_4859:181	hDel_4859	3102	3014	3325
hDel_422:10	hDel_422	2452	2280	3076
hDel_3091:56	hDel_3091	2333	2430	2883
hDel_7037:80	hDel_7037	5473	5274	4992
hDel_681:133	hDel_681	3103	2920	2968
hDel_6633:115	hDel_6633	6323	6548	8823
hDel_5858:35	hDel_5858	3783	4024	5592
hDel_5681:28	hDel_5681	6047	6479	7893
hDel_6418:101	hDel_6418	5179	3337	4743
hDel_1402:16	hDel_1402	3535	3658	3814
hDel_5648:37	hDel_5648	7067	6592	5749
hDel_6811:46	hDel_6811	4744	4368	4954
hDel_1106:188	hDel_1106	5726	5824	5892
hDel_2657:157	hDel_2657	3967	2218	3871
hDel_4720:167	hDel_4720	3194	2869	2734
hDel_1460:54	hDel_1460	3926	3840	4419
hDel_5942:46	hDel_5942	2826	3044	2974
UBA3:5	UBA3	7148	4362	6438
hDel_978:136	hDel_978	4870	4374	5008
hDel_5648:356	hDel_5648	1781	1493	2123
hDel_2260:38	hDel_2260	3434	2858	3242
NRF1:5	NRF1	4760	182	236
hDel_3181:185	hDel_3181	4150	4247	4027
hDel_4720:208	hDel_4720	4204	2113	2826
hDel_5688:95	hDel_5688	7164	7968	7480
hDel_3426:60	hDel_3426	4838	4496	4685
hDel_4207:46	hDel_4207	3117	2640	2884
hDel_2136:65	hDel_2136	1840	2491	1685
hDel_6624:54	hDel_6624	3344	2464	2576
hDel_6503:118	hDel_6503	2928	2935	3412
hDel_1647:93	hDel_1647	4252	3834	5040
hDel_3711:2	hDel_3711	9305	9987	11916
hDel_1111:96	hDel_1111	5986	5967	8147
hDel_4149:221	hDel_4149	1962	2194	3001
hDel_4397:404	hDel_4397	5595	4410	4375
hDel_4563:37	hDel_4563	3657	3413	3183
hDel_5676:6	hDel_5676	1957	1261	1462
panTro6_CTRL2452	panTro6_CTRL	4260	4608	6874
